episode,reward
0,0.031
100,0.272
200,0.89625
300,0.9095
400,1.04425
500,0.957
600,0.92475
700,1.14775
800,1.002
900,1.086
1000,1.055
1100,1.21625
1200,1.1615
1300,1.16725
1400,1.28275
1500,1.13025
1600,1.127
1700,1.2935
1800,1.23325
1900,1.14575
2000,1.19025
2100,1.24975
2200,1.19975
2300,1.1595
2400,1.09675
2500,1.0895
2600,1.26725
2700,1.22775
2800,1.1775
2900,1.25975
3000,1.351
3100,1.2065
3200,1.33525
3300,1.3085
3400,1.17275
3500,1.1405
3600,1.19725
3700,1.4035
3800,1.3565
3900,1.27225
4000,1.25675
4100,1.35
4200,1.22675
4300,1.27025
4400,1.27425
4500,1.33725
4600,1.3105
4700,1.3295
4800,1.28825
4900,1.20725
